18.8	308.5	61.4
30.5	2402.3	49.8
25.0	144.4	48.8
19.3	33204.9	153.1
25.0	280.3	63.7
27.0	328.0	65.7
24.1	151.1	53.6
16.6	307.4	61.7
19.4	2174.0	48.2
25.3	300.0	78.5
16.9	337.3	73.7
16.7	287.3	68.7
26.7	2249.6	64.4
426.7	74.2	60.6
25.7	268.9	74.6
27.7	287.2	52.7
23.4	278.9	45.8
19.0	285.4	54.0
18.2	2292.9	47.9
20.9	321.5	48.9
3.0	318.0	49.7
19.7	229.4	43.2
19.3	216.9	41.3
13.1	814.7	45.4
36749.7	119.8	46.6
17.5	253.8	42.5
18.3	587.2	52.4
23.0	5523.2	49.1
24.2	660.8	55.8
24.7	558.2	57.8
22.7	2341.8	47.9
19.4	478.1	49.9
26.3	524.1	62.2
27.8	534.7	56.3
15.7	536.5	58.2
19.6	601.2	54.7
35.5	2212.1	37.7
17.4	685.7	62.5
17.2	543.3	60.6
16.9	2200.1	48.1
19.4	442.6	57.9
